operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
SparseFlashAttention,1,"[[2, 256, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128], [2, 256, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-B2S256Skv4096N32Nkv8Dk128-top512
SparseFlashAttention,2,"[[2, 256, 32, 192], [2, 4096, 8, 192], [2, 4096, 8, 128], [2, 256, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.07217, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-Dk192Dv128-top512
SparseFlashAttention,3,"[[2, 32, 1024, 128], [2, 8, 8192, 128], [2, 8, 8192, 128], [2, 8, 1024, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BNSD""}","[-1, 1]",,bfloat16-BNSD-GQA-top1024
SparseFlashAttention,4,"[[2, 32, 512, 192], [2, 8, 4096, 192], [2, 8, 4096, 128], [2, 8, 512, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.07217, ""inputLayout"": ""BNSD""}","[-1, 1]",,float16-BNSD-GQA-Dk192-top512
SparseFlashAttention,5,"[[1, 256, 64, 128], [1, 4096, 8, 128], [1, 4096, 8, 128], [1, 256, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-N64Nkv8-top512
SparseFlashAttention,6,"[[16, 1, 32, 128], [16, 8192, 8, 128], [16, 8192, 8, 128], [16, 1, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-B16S1-decode-top512
SparseFlashAttention,7,"[[32, 32, 1, 192], [32, 8, 8192, 192], [32, 8, 8192, 128], [32, 8, 1, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""scaleValue"": 0.07217, ""inputLayout"": ""BNSD""}","[-1, 1]",,bfloat16-BNSD-GQA-B32S1-decode-Dk192-top1024
SparseFlashAttention,8,"[[8, 4, 64, 128], [8, 4096, 8, 128], [8, 4096, 8, 128], [8, 4, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-B8S4-MTP-top512
SparseFlashAttention,9,"[[1, 128, 128, 512], [1, 2048, 1, 512], [1, 2048, 1, 512], [1, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-Dk512Dv512-top512
SparseFlashAttention,10,"[[1, 128, 128, 576], [1, 2048, 1, 576], [1, 2048, 1, 512], [1, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04167, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-Dk576Dv512-top512
SparseFlashAttention,11,"[[2, 128, 256, 512], [2, 1, 2048, 512], [2, 1, 2048, 512], [2, 1, 256, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BNSD""}","[-1, 1]",,bfloat16-BNSD-MLA-Dk512-top512
SparseFlashAttention,12,"[[2, 128, 128, 576], [2, 1, 1024, 576], [2, 1, 1024, 512], [2, 1, 128, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04167, ""inputLayout"": ""BNSD""}","[-1, 1]",,float16-BNSD-MLA-Dk576-top512
SparseFlashAttention,13,"[[1, 128, 128, 512], [1, 2048, 1, 512], [1, 2048, 1, 512], [1, 128, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-top512-long
SparseFlashAttention,14,"[[16, 1, 128, 512], [16, 8192, 1, 512], [16, 8192, 1, 512], [16, 1, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-B16S1-decode-top512
SparseFlashAttention,15,"[[32, 64, 1, 576], [32, 1, 8192, 576], [32, 1, 8192, 512], [32, 1, 1, 1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32""]","{""scaleValue"": 0.04167, ""inputLayout"": ""BNSD""}","[-1, 1]",,bfloat16-BNSD-MLA-B32S1-decode-Dk576-top1024
SparseFlashAttention,16,"[[8, 4, 128, 512], [8, 4096, 1, 512], [8, 4096, 1, 512], [8, 4, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-B8S4-MTP-top512
SparseFlashAttention,17,"[[16, 64, 4, 576], [16, 1, 8192, 576], [16, 1, 8192, 512], [16, 1, 4, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04167, ""inputLayout"": ""BNSD""}","[-1, 1]",,float16-BNSD-MLA-B16S4-MTP-Dk576-top512
SparseFlashAttention,18,"[[32, 1, 128, 512], [32, 4096, 1, 512], [32, 4096, 1, 512], [32, 1, 1, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.04419, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-MLA-B32S1-decode-large-batch
SparseFlashAttention,19,"[[8, 2, 32, 128], [8, 4096, 8, 128], [8, 4096, 8, 128], [8, 2, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[-1, 1]",,float16-BSND-GQA-B8S2-MTP-large-batch
SparseFlashAttention,20,"[[2, 256, 32, 128], [2, 4096, 8, 128], [2, 4096, 8, 128], [2, 256, 8, 512]]","[""float16"", ""float16"", ""float16"", ""int32""]","{""scaleValue"": 0.08838, ""inputLayout"": ""BSND""}","[0, 0]",,float16-BSND-GQA-zero-input
